Team,Date,Nb contactés,Nb souscriptions,Bénéfice (€),Tentatives restantes
Team 1,2025-04-07 19:10:36,100,16,0,4
Team 2,2025-04-07 19:12:01,150,24,0,4
Team 3,2025-04-07 19:12:58,50,7,-5000,4
Team 1,2025-04-07 19:13:42,50,7,-5000,3
Team 1,2025-04-07 19:14:10,50,7,-5000,2
Team 3,2025-04-07 19:14:58,100,16,0,3
Team 1,2025-04-07 19:23:42,400,62,-10000,1
Team 2,2025-04-07 19:24:36,99,15,-4200,3
Team 2,2025-04-07 19:44:53,100,43,135000,2
Equipe 2,2025-04-07 21:30:49,100,43,135000,2
